Measurement	Count	Measurement_type	source_file
TES_down_5kb	2726747	Tag count	TARGET-10-PAPRMM-09B-01R
TES_down_10kb	4042610	Tag count	TARGET-10-PAPRMM-09B-01R
CDS_Exons	46878300	Tag count	TARGET-10-PAPTAT-09B-01R
5'UTR_Exons	3794107	Tag count	TARGET-10-PAPTAT-09B-01R
3'UTR_Exons	16622646	Tag count	TARGET-10-PAPTAT-09B-01R
Introns	112036637	Tag count	TARGET-10-PAPTAT-09B-01R
TSS_up_1kb	348525	Tag count	TARGET-10-PAPTAT-09B-01R
TSS_up_5kb	1036053	Tag count	TARGET-10-PAPTAT-09B-01R
TSS_up_10kb	1668880	Tag count	TARGET-10-PAPTAT-09B-01R
TES_down_1kb	723165	Tag count	TARGET-10-PAPTAT-09B-01R
TES_down_5kb	2283654	Tag count	TARGET-10-PAPTAT-09B-01R
TES_down_10kb	3284178	Tag count	TARGET-10-PAPTAT-09B-01R
CDS_Exons	36725248	Tag count	TARGET-10-PARAPE-09B-01R
5'UTR_Exons	3768699	Tag count	TARGET-10-PARAPE-09B-01R
3'UTR_Exons	12980523	Tag count	TARGET-10-PARAPE-09B-01R
Introns	126667656	Tag count	TARGET-10-PARAPE-09B-01R
TSS_up_1kb	357520	Tag count	TARGET-10-PARAPE-09B-01R
TSS_up_5kb	1105254	Tag count	TARGET-10-PARAPE-09B-01R
TSS_up_10kb	1789575	Tag count	TARGET-10-PARAPE-09B-01R
TES_down_1kb	715635	Tag count	TARGET-10-PARAPE-09B-01R
TES_down_5kb	2250754	Tag count	TARGET-10-PARAPE-09B-01R
TES_down_10kb	3224680	Tag count	TARGET-10-PARAPE-09B-01R
CDS_Exons	21321918	Tag count	TARGET-10-PARAYM-09A-01R
5'UTR_Exons	1776899	Tag count	TARGET-10-PARAYM-09A-01R
3'UTR_Exons	8466067	Tag count	TARGET-10-PARAYM-09A-01R
Introns	60647522	Tag count	TARGET-10-PARAYM-09A-01R
TSS_up_1kb	155589	Tag count	TARGET-10-PARAYM-09A-01R
TSS_up_5kb	592239	Tag count	TARGET-10-PARAYM-09A-01R
TSS_up_10kb	1037657	Tag count	TARGET-10-PARAYM-09A-01R
TES_down_1kb	353266	Tag count	TARGET-10-PARAYM-09A-01R
TES_down_5kb	1167879	Tag count	TARGET-10-PARAYM-09A-01R
TES_down_10kb	1790676	Tag count	TARGET-10-PARAYM-09A-01R
CDS_Exons	44193569	Tag count	TARGET-10-PARBGL-09B-01R
5'UTR_Exons	3776915	Tag count	TARGET-10-PARBGL-09B-01R
3'UTR_Exons	16655169	Tag count	TARGET-10-PARBGL-09B-01R
Introns	124459528	Tag count	TARGET-10-PARBGL-09B-01R
